"","ISO 3","Continent","Country","Corporate Tax Rate","Tax Rate Accounting for Global Minimum Tax","Joined the Pillar Two Statement","Income Inclusion Rule (IIR)","Undertaxed Profits Rule (UTPR)","Qualified Domestic Minimum Top-up Tax (QDMTT)"
"184","PRT","EU","Portugal",31.5,31.5,"Yes","Yes","No","Yes"
"185","PRY","SA","Paraguay",10,10,"Yes","No","No","No"
"186","PSE","AS","State of Palestine",15,15,"No","No","No","No"
"187","PYF","OC","French Polynesia",25,25,"No","No","No","No"
"188","QAT","AS","Qatar",10,10,"Yes","No","No","No"
"189","REU","AF","Reunion",NA,NA,"No","No","No","No"
"190","ROU","EU","Romania",16,16,"Yes","Yes","No","Yes"
"191","RUS","EU","Russian Federation",20,20,"No","No","No","No"
"192","RWA","AF","Rwanda",28,28,"No","No","No","No"
"193","SAU","AS","Saudi Arabia",20,20,"Yes","No","No","No"
"194","SDN","AF","Sudan",35,35,"No","No","No","No"
"195","SEN","AF","Senegal",30,30,"Yes","No","No","No"
"196","SGP","AS","Singapore",17,17,"Yes","No","No","No"
"197","SGS","AN","South Georgia and the South Sandwich Islands",NA,NA,"No","No","No","No"
"198","SHN","AF","Saint Helena",25,25,"No","No","No","No"
"199","SJM","EU","Svalbard and Jan Mayen Islands",NA,NA,"No","No","No","No"
"200","SLB","OC","Solomon Islands",30,30,"No","No","No","No"
"201","SLE","AF","Sierra Leone",25,25,"Yes","No","No","No"
"202","SLV","NO","El Salvador",30,30,"No","No","No","No"
"203","SMR","EU","San Marino",17,17,"No","No","No","No"
"204","SOM","AF","Somalia",NA,NA,"No","No","No","No"
"205","SPM","NO","Saint Pierre and Miquelon",NA,NA,"No","No","No","No"
"206","SRB","EU","Serbia",15,15,"Yes","No","No","No"
"207","SSD","AF","South Sudan",30,30,"No","No","No","No"
"208","STP","AF","Sao Tome and Principe",25,25,"No","No","No","No"
"209","SUR","SA","Suriname",36,36,"No","No","No","No"
"210","SVK","EU","Slovakia",21,21,"Yes","No","No","Yes"
"211","SVN","EU","Slovenia",22,22,"Yes","Yes","No","Yes"
