"","iso_3","continent","country","year","rate","gdp","oecd","eu27","gseven","gtwenty","brics"
"10130","NPL","AS","Nepal","2025",25,40.8761089862262,0,0,0,0,0
"10195","NRU","OC","Nauru","2025",25,NA,0,0,0,0,0
"10287","NZL","OC","New Zealand","2025",28,243.664174813807,1,0,0,0,0
"10352","OMN","AS","Oman","2025",15,87.3962725291216,0,0,0,0,0
"10723","PAK","AS","Pakistan","2025",29,427.681962471726,0,0,0,0,0
"10417","PAN","NO","Panama","2025",25,78.1301759285887,0,0,0,0,0
"10482","PER","SA","Peru","2025",29.5,248.731133247151,0,0,0,0,0
"10658","PHL","AS","Philippines","2025",25,451.095903287379,0,0,0,0,0
"10593","PNG","OC","Papua New Guinea","2025",30,26.6403926588786,0,0,0,0,0
"10788","POL","EU","Poland","2025",19,689.08532644213,1,1,0,0,0
"10945","PRI","NO","Puerto Rico","2025",37.5,105.1809025804,0,0,0,0,0
"11056","PRT","EU","Portugal","2025",30.5,255.10093755879,1,1,0,0,0
"11167","PRY","SA","Paraguay","2025",10,46.8469592587563,0,0,0,0,0
"11010","PSE","AS","State of Palestine","2025",15,NA,0,0,0,0,0
"10547","PYF","OC","French Polynesia","2025",25,NA,0,0,0,0,0
"11232","QAT","AS","Qatar","2025",10,178.616280146534,0,0,0,0,0
"11343","ROU","EU","Romania","2025",16,266.933314551522,0,1,0,0,0
"11473","RUS","EU","Russian Federation","2025",25,1824.70354162516,0,0,0,1,1
"11538","RWA","AF","Rwanda","2025",28,15.7486432912906,0,0,0,0,0
"11603","SAU","AS","Saudi Arabia","2025",20,829.564683918409,0,0,0,1,0
"11798","SDN","AF","Sudan","2025",35,101.447942982506,0,0,0,0,0
"12326","SEN","AF","Senegal","2025",30,32.5296897654536,0,0,0,0,0
"11928","SGP","AS","Singapore","2025",17,420.700111979584,0,0,0,0,0
"11993","SHN","AF","Saint Helena","2025",25,NA,0,0,0,0,0
"11668","SLB","OC","Solomon Islands","2025",30,1.6875529009884,0,0,0,0,0
"12215","SLE","AF","Sierra Leone","2025",25,4.87962364038205,0,0,0,0,0
"12613","SLV","NO","El Salvador","2025",30,29.9651155877872,0,0,0,0,0
"12280","SMR","EU","San Marino","2025",17,NA,0,0,0,0,0
"12391","SOM","AF","Somalia","2025",15,NA,0,0,0,0,0
"11408","SRB","EU","Serbia","2025",15,57.7657978183605,0,0,0,0,0
"12502","SSD","AF","South Sudan","2025",30,NA,0,0,0,0,0
"12548","STP","AF","Sao Tome and Principe","2025",25,0.444354676289542,0,0,0,0,0
"12437","SUR","SA","Suriname","2025",36,3.4543331056005,0,0,0,0,0
"12150","SVK","EU","Slovakia","2025",24,113.206141539033,1,1,0,0,0
"12039","SVN","EU","Slovenia","2025",22,59.34826282193,1,1,0,0,0
"11863","SWE","EU","Sweden","2025",20.6,614.762561716074,1,1,0,0,0
"12789","SWZ","AF","Swaziland","2025",25,5.6458308418631,0,0,0,0,0
"12678","SXM","NO","Sint Maarten (Dutch part)","2025",34.5,NA,0,0,0,0,0
"11733","SYC","AF","Seychelles","2025",25,1.930388247196,0,0,0,0,0
"12724","SYR","AS","Syrian Arab Republic","2025",25,18.8721813323459,0,0,0,0,0
"12854","TCA","NO","Turks and Caicos Islands","2025",0,NA,0,0,0,0,0
"12900","TCD","AF","Chad","2025",35,11.7431135298758,0,0,0,0,0
"13011","TGO","AF","Togo","2025",27,9.4882784081924,0,0,0,0,0
"13076","THA","AS","Thailand","2025",20,514.637570013957,0,0,0,0,0
"13141","TJK","AS","Tajikistan","2025",18,13.1528941635485,0,0,0,0,0
"13206","TKL","OC","Tokelau","2025",0,NA,0,0,0,0,0
"13298","TKM","AS","Turkmenistan","2025",8,64.7089238692239,0,0,0,0,0
"13252","TLS","OC","Timor-Leste","2025",10,NA,0,0,0,0,0
"13428","TON","OC","Tonga","2025",25,0.481591024407521,0,0,0,0,0
"13558","TTO","NO","Trinidad and Tobago","2025",30,23.3306470918817,0,0,0,0,0
"13363","TUN","AF","Tunisia","2025",20,45.3125081708224,0,0,0,0,0
"13493","TUR","AS","Turkey","2025",25,1181.471380123,1,0,0,1,0
"13669","TWN","AS","Taiwan","2025",20,762.044445982973,0,0,0,0,0
"13734","TZA","AF","United Republic of Tanzania","2025",30,78.4663015894648,0,0,0,0,0
"13864","UGA","AF","Uganda","2025",30,47.1196126307239,0,0,0,0,0
"13799","UKR","EU","Ukraine","2025",18,98.3591998600473,0,0,0,0,0
"14040","URY","SA","Uruguay","2025",25,72.2017802551178,0,0,0,0,0
"13975","USA","NO","United States of America","2025",25.569714,23429.5780283527,1,0,1,1,0
"14105","UZB","AS","Uzbekistan","2025",15,95.7528126821177,0,0,0,0,0
"14216","VCT","NO","Saint Vincent and the Grenadines","2025",28,0.976867118631139,0,0,0,0,0
"14281","VEN","SA","Venezuela (Bolivarian Republic of)","2025",34,105.181634163616,0,0,0,0,0
"14346","VGB","NO","British Virgin Islands","2025",0,NA,0,0,0,0,0
"14392","VIR","NO","United States Virgin Islands","2025",23.1,NA,0,0,0,0,0
"14438","VNM","AS","Viet Nam","2025",20,438.296072688358,0,0,0,0,0
"14503","VUT","OC","Vanuatu","2025",0,0.97587104273261,0,0,0,0,0
"14568","WLF","OC","Wallis and Futuna Islands","2025",0,NA,0,0,0,0,0
"14614","WSM","OC","Samoa","2025",27,0.908281556655826,0,0,0,0,0
"14679","XKX","EU","Kosovo, Republic of","2025",10,NA,0,0,0,0,0
"14725","YEM","AS","Yemen","2025",20,15.1348214900005,0,0,0,0,0
"14836","ZAF","AF","South Africa","2025",27,401.340858694525,0,0,0,1,1
"14901","ZMB","AF","Zambia","2025",30,33.7055744574306,0,0,0,0,0
"14966","ZWE","AF","Zimbabwe","2025",25.75,25.9862648525554,0,0,0,0,0
